(0.019775,0.140015)
(-0.028198,0.087891)
(0.071533,-0.111084)
(0.315552,-0.369263)
(0.356445,-0.199829)
(-0.010254,0.427246)
(-0.507080,0.844360)
(-0.683105,0.584229)
(-0.424194,0.024902)
(-0.036377,-0.228149)
(0.100220,-0.208008)
(-0.098511,-0.366089)
(-0.341919,-0.752808)
(-0.261230,-0.943604)
(0.142456,-0.719360)
(0.419312,-0.338867)
(0.191406,-0.071899)
(-0.325806,0.135376)
(-0.569458,0.373779)
(-0.361084,0.475464)
(-0.071533,0.245117)
(0.004883,-0.193359)
(0.049072,-0.506104)
(0.276245,-0.532593)
(0.471313,-0.406006)
(0.349609,-0.331665)
(0.121826,-0.370361)
(0.203003,-0.431030)
(0.458496,-0.391968)
(0.304199,-0.213379)
(-0.353149,0.041992)
(-0.820679,0.289917)
(-0.556641,0.483398)
(0.034302,0.558960)
(0.182617,0.406006)
(-0.150269,0.026489)
(-0.292725,-0.318848)
(0.088013,-0.316162)
(0.512573,0.023560)
(0.433716,0.375488)
(0.026001,0.533936)
(-0.106567,0.611328)
(0.216431,0.697266)
(0.571167,0.592896)
(0.557495,0.146484)
(0.279419,-0.332886)
(0.087646,-0.357910)
(0.081909,0.073608)
(0.089111,0.432983)
(0.046387,0.352783)
(0.137939,0.068604)
(0.449463,0.008057)
(0.672852,0.172485)
(0.405518,0.183960)
(-0.260254,-0.144287)
(-0.709961,-0.530029)
(-0.527100,-0.577637)
(-0.050537,-0.276733)
(0.057495,-0.032349)
(-0.290405,-0.179321)
(-0.505493,-0.546997)
(-0.199463,-0.641479)
(0.215820,-0.308350)
(0.113281,-0.015259)
(-0.411133,-0.242310)
(-0.628052,-0.720947)
(-0.178589,-0.680054)
(0.449829,0.078735)
(0.619263,0.786743)
(0.348633,0.677124)
(0.126221,0.009644)
(0.150391,-0.322998)
(0.161011,-0.027100)
(-0.025391,0.301270)
(-0.215820,0.142822)
(-0.183960,-0.235962)
(-0.000977,-0.301392)
(0.158691,-0.069946)
(0.297852,-0.007812)
(0.457764,-0.306641)
(0.512085,-0.663574)
(0.390137,-0.754395)
(0.343262,-0.601929)
(0.604126,-0.406616)
(0.841919,-0.250488)
(0.453003,-0.093384)
(-0.478271,0.066162)
(-1.010498,0.147217)
(-0.506104,0.084106)
(0.411865,-0.073975)
(0.598022,-0.170776)
(-0.114380,-0.101074)
(-0.770508,0.026978)
(-0.663940,-0.006592)
(-0.184082,-0.207275)
(-0.027832,-0.286133)
(-0.171509,-0.049683)
(-0.155396,0.274536)
(0.018555,0.328613)
(-0.050049,0.134644)
(-0.343872,0.016357)
(-0.367432,0.049683)
(0.004028,-0.043335)
(0.239746,-0.361694)
(-0.022095,-0.556885)
(-0.376587,-0.325439)
(-0.267700,0.119019)
(0.172119,0.353394)
(0.365967,0.317871)
(0.142944,0.251343)
(-0.134155,0.210938)
(-0.203003,0.046265)
(-0.191040,-0.187256)
(-0.243896,-0.190552)
(-0.266846,0.110107)
(-0.160522,0.385254)
(-0.013062,0.343994)
(0.075317,0.108276)
(0.130493,-0.018799)
(0.171387,0.042847)
(0.150146,0.146362)
(0.089844,0.154419)
(0.060059,0.031372)
(-0.016724,-0.156982)
(-0.249878,-0.206177)
(-0.433350,0.073486)
(-0.210693,0.508667)
(0.271118,0.604126)
(0.343018,0.189331)
(-0.233887,-0.201416)
(-0.738281,0.019531)
(-0.417725,0.599854)
(0.382812,0.689087)
(0.673340,0.013550)
(0.239746,-0.697144)
(-0.125000,-0.694092)
(0.122803,-0.193604)
(0.530396,0.014893)
(0.457886,-0.311890)
(0.023315,-0.630005)
(-0.225708,-0.448608)
(-0.147339,0.025879)
(0.000122,0.253906)
(0.096924,0.085205)
(0.176270,-0.123047)
(0.099243,-0.018188)
(-0.262695,0.317017)
(-0.614990,0.493530)
(-0.516602,0.297119)
(-0.048706,-0.043091)
(0.256348,-0.136963)
(0.168823,0.049927)
(-0.010986,0.128174)
(-0.022217,-0.168335)
(0.038452,-0.540283)
(0.066772,-0.480225)
(0.135498,-0.006592)
(0.166748,0.288330)
(-0.080811,0.028198)
